,Parquet,HDF Fixed,HDF Table,HDF Select,CSV
read,1.4545999740000002,6.8949719678571375,12.617448374857133,13.964324867428568,7.654069348571413
write,8.765045292285714,8.006770806428571,13.964324867428568,13.964324867428568,29.04504943
size,93683658.0,390380240.0,180357856.0,180357856.0,180357856.0
